שם הספר,שנת הדפסה,מחבר,מקום הדפסה,קטגורייה,מקור,textFileURL,nikudMetegFileURL,OCRDataURL,ocrFeDir,שם הספר [אנגלית],קטגורייה [אנגלית],מחבר [אנגלית],מקום הדפסה [אנגלית],underwentBerelUnflagging,fileName
שדי חמד אסיפת דינים חול המועד,1896,הרב חיים חזקיהו מדיני,ווארשא,כללים ומערכות בהלכה,,https://files.dicta.org.il/sdeichemedasifatdinimcholhamoed/sdeichemedasifatdinimcholhamoed__text_files.zip,https://files.dicta.org.il/sdeichemedasifatdinimcholhamoed/sdeichemedasifatdinimcholhamoed__nikud_meteg_files.zip,https://files.dicta.org.il/sdeichemedasifatdinimcholhamoed/sdeichemedasifatdinimcholhamoed__ocr_data_html_files.zip,sdeichemedasifatdinimcholhamoed,Sdei Chemed Asifat Dinim Chol Hamoed,Reference,rabbi Chaim Hezekiah Medini,Warsaw,,sdeichemedasifatdinimcholhamoed
שדי חמד אסיפת דינים מילה,1902,הרב חיים חזקיהו מדיני,ווארשא,כללים ומערכות בהלכה,,https://files.dicta.org.il/sdeichemedasifatdinimmilah/sdeichemedasifatdinimmilah__text_files.zip,https://files.dicta.org.il/sdeichemedasifatdinimmilah/sdeichemedasifatdinimmilah__nikud_meteg_files.zip,https://files.dicta.org.il/sdeichemedasifatdinimmilah/sdeichemedasifatdinimmilah__ocr_data_html_files.zip,sdeichemedasifatdinimmilah,Sdei Chemed Asifat Dinim Milah,Reference,rabbi Chaim Hezekiah Medini,Warsaw,,sdeichemedasifatdinimmilah
שדי חמד אסיפת דינים ראש השנה,1902,הרב חיים חזקיהו מדיני,ווארשא,כללים ומערכות בהלכה,,https://files.dicta.org.il/sdeichemedasifatdinimroshhashanah/sdeichemedasifatdinimroshhashanah__text_files.zip,https://files.dicta.org.il/sdeichemedasifatdinimroshhashanah/sdeichemedasifatdinimroshhashanah__nikud_meteg_files.zip,https://files.dicta.org.il/sdeichemedasifatdinimroshhashanah/sdeichemedasifatdinimroshhashanah__ocr_data_html_files.zip,sdeichemedasifatdinimroshhashanah,Sdei Chemed Asifat Dinim Rosh Hasanah,Reference,rabbi Chaim Hezekiah Medini,Warsaw,,sdeichemedasifatdinimroshhashanah
שדי חמד אסיפת דינים יום הכיפורים,1902,הרב חיים חזקיהו מדיני,ווארשא,כללים ומערכות בהלכה,,https://files.dicta.org.il/sdeichemedasifatdinimyomkippurim/sdeichemedasifatdinimyomkippurim__text_files.zip,https://files.dicta.org.il/sdeichemedasifatdinimyomkippurim/sdeichemedasifatdinimyomkippurim__nikud_meteg_files.zip,https://files.dicta.org.il/sdeichemedasifatdinimyomkippurim/sdeichemedasifatdinimyomkippurim__ocr_data_html_files.zip,sdeichemedasifatdinimyomkippurim,Sdei Chemed Asifat Dinim Yom Kippurim,Reference,rabbi Chaim Hezekiah Medini,Warsaw,,sdeichemedasifatdinimyomkippurim
שדי חמד באר בשדי חלק א,1898,הרב חיים חזקיהו מדיני,ווארשא,כללים ומערכות בהלכה,ספריית דיקטה,https://files.dicta.org.il/sdeichemedbaerbasdie1/sdeichemedbaerbasdie1__text_files.zip,https://files.dicta.org.il/sdeichemedbaerbasdie1/sdeichemedbaerbasdie1__nikud_meteg_files.zip,https://files.dicta.org.il/sdeichemedbaerbasdie1/sdeichemedbaerbasdie1__ocr_data_html_files.zip,sdeichemedbaerbasdie1,sdei chemed baer basdie part 1,Reference,rabbi Chaim Hezekiah Medini,Warsaw,,sdeichemedbaerbasdie1
שדי חמד באר בשדי חלק ב,1898,הרב חיים חזקיהו מדיני,ווארשא,כללים ומערכות בהלכה,ספריית דיקטה,https://files.dicta.org.il/sdeichemedbaerbasdie2/sdeichemedbaerbasdie2__text_files.zip,https://files.dicta.org.il/sdeichemedbaerbasdie2/sdeichemedbaerbasdie2__nikud_meteg_files.zip,https://files.dicta.org.il/sdeichemedbaerbasdie2/sdeichemedbaerbasdie2__ocr_data_html_files.zip,sdeichemedbaerbasdie2,sdei chemed baer basdie part 2,Reference,rabbi Chaim Hezekiah Medini,Warsaw,,sdeichemedbaerbasdie2
שדי חמד דברי חכמים,1891,הרב חיים חזקיהו מדיני,ווארשא,כללים ומערכות בהלכה,,https://files.dicta.org.il/sdeichemeddivreichachamim/sdeichemeddivreichachamim__text_files.zip,https://files.dicta.org.il/sdeichemeddivreichachamim/sdeichemeddivreichachamim__nikud_meteg_files.zip,https://files.dicta.org.il/sdeichemeddivreichachamim/sdeichemeddivreichachamim__ocr_data_html_files.zip,sdeichemeddivreichachamim,Sdei Chemed Divrei Chachamim,Reference,rabbi Chaim Hezekiah Medini,Warsaw,,sdeichemeddivreichachamim
שדי חמד קונטרס הכללים מערכת א,1896,הרב חיים חזקיהו מדיני,ווארשא,כללים ומערכות בהלכה,,https://files.dicta.org.il/sdeichemedkuntreshaklalim1version2/sdeichemedkuntreshaklalim1version2__text_files.zip,https://files.dicta.org.il/sdeichemedkuntreshaklalim1version2/sdeichemedkuntreshaklalim1version2__nikud_meteg_files.zip,https://files.dicta.org.il/sdeichemedkuntreshaklalim1version2/sdeichemedkuntreshaklalim1version2__ocr_data_html_files.zip,sdeichemedkuntreshaklalim1version2,Sdei Chemed Kuntres Haklalim marechet alef,Reference,rabbi Chaim Hezekiah Medini,Warsaw,,sdeichemedkuntreshaklalim1version2
שדי חמד קונטרס הכללים מערכת כ,1896,הרב חיים חזקיהו מדיני,ווארשא,כללים ומערכות בהלכה,,https://files.dicta.org.il/sdeichemedkuntreshaklalim20/sdeichemedkuntreshaklalim20__text_files.zip,https://files.dicta.org.il/sdeichemedkuntreshaklalim20/sdeichemedkuntreshaklalim20__nikud_meteg_files.zip,https://files.dicta.org.il/sdeichemedkuntreshaklalim20/sdeichemedkuntreshaklalim20__ocr_data_html_files.zip,sdeichemedkuntreshaklalim20,Sdei Chemed Kuntres Haklalim marechet kaf,Reference,rabbi Chaim Hezekiah Medini,Warsaw,,sdeichemedkuntreshaklalim20
שדי חמד קונטרס הכללים מערכת ב,1896,הרב חיים חזקיהו מדיני,ווארשא,כללים ומערכות בהלכה,,https://files.dicta.org.il/sdeichemedkuntreshaklalim2version2/sdeichemedkuntreshaklalim2version2__text_files.zip,https://files.dicta.org.il/sdeichemedkuntreshaklalim2version2/sdeichemedkuntreshaklalim2version2__nikud_meteg_files.zip,https://files.dicta.org.il/sdeichemedkuntreshaklalim2version2/sdeichemedkuntreshaklalim2version2__ocr_data_html_files.zip,sdeichemedkuntreshaklalim2version2,Sdei Chemed Kuntres Haklalim marechet bet,Reference,rabbi Chaim Hezekiah Medini,Warsaw,,sdeichemedkuntreshaklalim2version2
שדי חמד קונטרס הכללים מערכות ג-ה,1896,הרב חיים חזקיהו מדיני,ווארשא,כללים ומערכות בהלכה,,https://files.dicta.org.il/sdeichemedkuntreshaklalim3_5/sdeichemedkuntreshaklalim3_5__text_files.zip,https://files.dicta.org.il/sdeichemedkuntreshaklalim3_5/sdeichemedkuntreshaklalim3_5__nikud_meteg_files.zip,https://files.dicta.org.il/sdeichemedkuntreshaklalim3_5/sdeichemedkuntreshaklalim3_5__ocr_data_html_files.zip,sdeichemedkuntreshaklalim3_5,Sdei Chemed Kuntres Haklalim marchot gimel-he,Reference,rabbi Chaim Hezekiah Medini,Warsaw,,sdeichemedkuntreshaklalim3_5
שדי חמד קונטרס הכללים מערכות ו-י,1896,הרב חיים חזקיהו מדיני,ווארשא,כללים ומערכות בהלכה,ספריית דיקטה,https://files.dicta.org.il/sdeichemedkuntreshaklalim6_10/sdeichemedkuntreshaklalim6_10__text_files.zip,https://files.dicta.org.il/sdeichemedkuntreshaklalim6_10/sdeichemedkuntreshaklalim6_10__nikud_meteg_files.zip,https://files.dicta.org.il/sdeichemedkuntreshaklalim6_10/sdeichemedkuntreshaklalim6_10__ocr_data_html_files.zip,sdeichemedkuntreshaklalim6_10,Sdei Chemed Kuntres Haklalim marchot Vav-Yod,Reference,rabbi Chaim Hezekiah Medini,Warsaw,,sdeichemedkuntreshaklalim6_10
שדי חמד קונטרס כללי הפוסקים,1898,הרב חיים חזקיהו מדיני,ווארשא,כללים ומערכות בהלכה,,https://files.dicta.org.il/sdeichemedkuntreshaposkim/sdeichemedkuntreshaposkim__text_files.zip,https://files.dicta.org.il/sdeichemedkuntreshaposkim/sdeichemedkuntreshaposkim__nikud_meteg_files.zip,https://files.dicta.org.il/sdeichemedkuntreshaposkim/sdeichemedkuntreshaposkim__ocr_data_html_files.zip,sdeichemedkuntreshaposkim,Sdei Chemed Kuntres Haposkim,Reference,rabbi Chaim Hezekiah Medini,Warsaw,,sdeichemedkuntreshaposkim
שדי חמד פאת השדה מערכת א,1901,הרב חיים חזקיהו מדיני,ווארשא,כללים ומערכות בהלכה,,https://files.dicta.org.il/sdeichemedpeathasadeh1/sdeichemedpeathasadeh1__text_files.zip,https://files.dicta.org.il/sdeichemedpeathasadeh1/sdeichemedpeathasadeh1__nikud_meteg_files.zip,https://files.dicta.org.il/sdeichemedpeathasadeh1/sdeichemedpeathasadeh1__ocr_data_html_files.zip,sdeichemedpeathasadeh1,Sdei Chemed peat hasadeh marechet alef,Reference,rabbi Chaim Hezekiah Medini,Warsaw,,sdeichemedpeathasadeh1
שדי חמד פאת השדה מערכות ב-ד,1902,הרב חיים חזקיהו מדיני,ווארשא,כללים ומערכות בהלכה,,https://files.dicta.org.il/sdeichemedpeathasadeh2_4/sdeichemedpeathasadeh2_4__text_files.zip,https://files.dicta.org.il/sdeichemedpeathasadeh2_4/sdeichemedpeathasadeh2_4__nikud_meteg_files.zip,https://files.dicta.org.il/sdeichemedpeathasadeh2_4/sdeichemedpeathasadeh2_4__ocr_data_html_files.zip,sdeichemedpeathasadeh2_4,Sdei Chemed peat hasadeh marchot Bet-Dalet,Reference,rabbi Chaim Hezekiah Medini,Warsaw,,sdeichemedpeathasadeh2_4
שדי חמד פאת השדה מערכת ה,1902,הרב חיים חזקיהו מדיני,ווארשא,כללים ומערכות בהלכה,,https://files.dicta.org.il/sdeichemedpeathasadeh5/sdeichemedpeathasadeh5__text_files.zip,https://files.dicta.org.il/sdeichemedpeathasadeh5/sdeichemedpeathasadeh5__nikud_meteg_files.zip,https://files.dicta.org.il/sdeichemedpeathasadeh5/sdeichemedpeathasadeh5__ocr_data_html_files.zip,sdeichemedpeathasadeh5,Sdei Chemed peat hasadeh marechet He,Reference,rabbi Chaim Hezekiah Medini,Warsaw,,sdeichemedpeathasadeh5
סדר ברכות,1910,יחיאל מיכל מורפצ'יק,פרנקפורט,ספרי הלכה ומנהג,ספריית דיקטה,https://files.dicta.org.il/sederberachot/sederberachot__text_files.zip,https://files.dicta.org.il/sederberachot/sederberachot__nikud_meteg_files.zip,https://files.dicta.org.il/sederberachot/sederberachot__ocr_data_html_files.zip,sederberachot_EGT,Seder Berachot,Halachah and Minhagim,Yechiel Michel ben Yedidiah,Frankfurt,,sederberachot
סדר היום,1876,רבי משה בן מכיר,לובלין,ספרי מחשבה ומוסר,ספריית דיקטה,https://files.dicta.org.il/sederyom/sederyom__text_files.zip,https://files.dicta.org.il/sederyom/sederyom__nikud_meteg_files.zip,https://files.dicta.org.il/sederyom/sederyom__ocr_data_html_files.zip,sederyom_EGT,Seder Yom,Mussar and Jewish Thought,Moshe ben Machir,Lublin,,sederyom
שפת אמת על קדשים,1925,יהודה אריה ליב אלתר,ווארשא,"מפרשי הש""ס (אחרונים)",ספריית דיקטה,https://files.dicta.org.il/sefatemetkodashim/sefatemetkodashim__text_files.zip,https://files.dicta.org.il/sefatemetkodashim/sefatemetkodashim__nikud_meteg_files.zip,https://files.dicta.org.il/sefatemetkodashim/sefatemetkodashim__ocr_data_html_files.zip,sefatemetkodashim_EGT,Sefat Emet (KODASHIM),Acharonim on Talmud Bavli,Yehudah Aryeh Leib Alter,Warsaw,,sefatemetkodashim
שפת אמת על מועד חלק א,1925-1931,ר' י-הודה ליב אלתר מגור,ווארשא,"מפרשי הש""ס (אחרונים)",ספריית דיקטה,https://files.dicta.org.il/sefatemetmoed1/sefatemetmoed1__text_files.zip,https://files.dicta.org.il/sefatemetmoed1/sefatemetmoed1__nikud_meteg_files.zip,https://files.dicta.org.il/sefatemetmoed1/sefatemetmoed1__ocr_data_html_files.zip,sefatemetmoed1_EGT,Sefat Emet (MOED part 1),Acharonim on Talmud Bavli,"Megur, Yehudah Aryeh Leb",Warsaw,,sefatemetmoed1
ספר הגן ודרך משה,1894,יצחק בן אליעזר ממונקאץ',מונקאטש,ספרי הלכה ומנהג,ספריית דיקטה,https://files.dicta.org.il/seferhaganvederechmoshe/seferhaganvederechmoshe__text_files.zip,https://files.dicta.org.il/seferhaganvederechmoshe/seferhaganvederechmoshe__nikud_meteg_files.zip,https://files.dicta.org.il/seferhaganvederechmoshe/seferhaganvederechmoshe__ocr_data_html_files.zip,seferhaganvederechmoshe,Sefer HaGan Ve Derech Moshe,seferhaganvederechmoshe,Yitzhak Ben Eliezer,Mukacheve,,seferhaganvederechmoshe
ספר העיטור,1860,רבי יצחק בן אבא מרי,למברג,ספרי הלכה ומנהג,,https://files.dicta.org.il/seferhaittur1/seferhaittur1__text_files.zip,https://files.dicta.org.il/seferhaittur1/seferhaittur1__nikud_meteg_files.zip,https://files.dicta.org.il/seferhaittur1/seferhaittur1__ocr_data_html_files.zip,seferhaittur1_EGT,Sefer Haittur part 1,Halachah and Minhagim,rabbi Isaac ben Abba Mari,Lemberg,,seferhaittur1
ספר הזכרונות,1913,ר' צדוק הכהן,לובלין,ספרי חסידות,ספריית דיקטה,https://files.dicta.org.il/seferhazichronot/seferhazichronot__text_files.zip,https://files.dicta.org.il/seferhazichronot/seferhazichronot__nikud_meteg_files.zip,https://files.dicta.org.il/seferhazichronot/seferhazichronot__ocr_data_html_files.zip,seferhazichronot_EGT,Sefer Hazichronot,Sifrei Chasidut,Rabbi Zadok HaCohen,Lublin,,seferhazichronot
שאגת אריה,1869,רבי אריה ליב גינזבורג,ורשא,"שו""ת",,https://files.dicta.org.il/shaagataryeh/shaagataryeh__text_files.zip,https://files.dicta.org.il/shaagataryeh/shaagataryeh__nikud_meteg_files.zip,https://files.dicta.org.il/shaagataryeh/shaagataryeh__ocr_data_html_files.zip,shaagataryeh_EGT,Shaagat Aryeh,Responsa,Aryeh Leib ben Asher Ginzburg,,,shaagataryeh
שאגת אריה החדשות,1873,רבי אריה ליב גינזבורג,וילנה,"שו""ת",ספריית דיקטה,https://files.dicta.org.il/shaagataryehhachadashot/shaagataryehhachadashot__text_files.zip,https://files.dicta.org.il/shaagataryehhachadashot/shaagataryehhachadashot__nikud_meteg_files.zip,https://files.dicta.org.il/shaagataryehhachadashot/shaagataryehhachadashot__ocr_data_html_files.zip,shaagataryehhachadashot_EGT,Sha'agat Aryeh Ha-Chadashot,Responsa,Aryeh Leib ben Asher Ginzburg,Vilnius,,shaagataryehhachadashot
שערי ישר חלק א,1928,הרב שמעון יהודה הכהן שְׁקוֹפּ,ורשא,ספרי מערכות ועניינים,ספריית דיקטה,https://files.dicta.org.il/shaareiyosher1/shaareiyosher1__text_files.zip,https://files.dicta.org.il/shaareiyosher1/shaareiyosher1__nikud_meteg_files.zip,https://files.dicta.org.il/shaareiyosher1/shaareiyosher1__ocr_data_html_files.zip,shaareiyosher1_EGT,Shaarei Yosher part 1,Chiddushim by Topic,Shimon Shkop,Warsaw,,shaareiyosher1
שערי ישר חלק ב,1928,הרב שמעון יהודה הכהן שְׁקוֹפּ,ורשא,ספרי מערכות ועניינים,ספריית דיקטה,https://files.dicta.org.il/shaareiyosher2/shaareiyosher2__text_files.zip,https://files.dicta.org.il/shaareiyosher2/shaareiyosher2__nikud_meteg_files.zip,https://files.dicta.org.il/shaareiyosher2/shaareiyosher2__ocr_data_html_files.zip,shaareiyosher2_EGT,Shaarei Yosher part 2,Chiddushim by Topic,Shimon Shkop,Warsaw,,shaareiyosher2
שער אפרים,1886,רבי אפרים הכהן,לעמבערג,"שו""ת",ספריית דיקטה,https://files.dicta.org.il/shaarephraim/shaarephraim__text_files.zip,https://files.dicta.org.il/shaarephraim/shaarephraim__nikud_meteg_files.zip,https://files.dicta.org.il/shaarephraim/shaarephraim__ocr_data_html_files.zip,shaarephraim_EGT,Shaar Ephraim,Responsa,Ephraim ben Yakov haCohen,Lemberg,,shaarephraim
שלמי נדרים,1881,הרב אלכסנדר סנדר הכהן קפלן,ווילנא,"מפרשי הש""ס (אחרונים)",ספריית דיקטה,https://files.dicta.org.il/shalmeinedarim/shalmeinedarim__text_files.zip,https://files.dicta.org.il/shalmeinedarim/shalmeinedarim__nikud_meteg_files.zip,https://files.dicta.org.il/shalmeinedarim/shalmeinedarim__ocr_data_html_files.zip,shalmeinedarim_EGT,Shalmei Nedarim,Acharonim on Talmud Bavli,"KAPLAN, ALEXANDER SENDER BEN ZERAH HA-KOHEN",Vilna,,shalmeinedarim
שלמי ירוחם,1941,הרב ירוחם אשר וַרְהַפְטִיג,ירושלים,"מפרשים וחיבורים סביב הרמב""ם",ספריית דיקטה,https://files.dicta.org.il/shalmeiyerucham/shalmeiyerucham__text_files.zip,https://files.dicta.org.il/shalmeiyerucham/shalmeiyerucham__nikud_meteg_files.zip,https://files.dicta.org.il/shalmeiyerucham/shalmeiyerucham__ocr_data_html_files.zip,shalmeiyerucham_EGT,Shalmei Yerucham,Commentaries on the Rambam,"Varhaftig, Yeruham Asher ben Shelomoh Yaakov",Jerusalem,,shalmeiyerucham
שערי בנימין,1939,"קלוגר, אברהם בנימין בן שלמה",בודפסט,"שו""ת",ספריית דיקטה,https://files.dicta.org.il/shareibenyamin/shareibenyamin__text_files.zip,https://files.dicta.org.il/shareibenyamin/shareibenyamin__nikud_meteg_files.zip,https://files.dicta.org.il/shareibenyamin/shareibenyamin__ocr_data_html_files.zip,shareibenyamin,Sharei Benyamin,Responsa,Benyamin Ben Shlomo Kluger,Budapest,,shareibenyamin
שארית יוסף,1893,"רבי יוסף כ""ץ",קראקא,"שו""ת",,https://files.dicta.org.il/sheerityosef/sheerityosef__text_files.zip,https://files.dicta.org.il/sheerityosef/sheerityosef__nikud_meteg_files.zip,https://files.dicta.org.il/sheerityosef/sheerityosef__ocr_data_html_files.zip,sheerityosef_EGT,She'erit Yosef,Responsa,Joseph ben Mordechai Gershon,Krakow,,sheerityosef
שקל הקדש,1895,"ואלק, מנחם יוסף בן עזריאל הכהן",וילנה,מפרשים וחיבורים על הירושלמי,ספריית דיקטה,https://files.dicta.org.il/shekelhakodesh/shekelhakodesh__text_files.zip,https://files.dicta.org.il/shekelhakodesh/shekelhakodesh__nikud_meteg_files.zip,https://files.dicta.org.il/shekelhakodesh/shekelhakodesh__ocr_data_html_files.zip,shekelhakodesh,Shekel ha-kodesh,Yerushalmi Commentaries,"Volk, Menahem Yosef ben Azriel,",Vilna,,shekelhakodesh
שלל דוד,1850,ר' דוד מועטי,ליוורנו,"מפרשים וחיבורים על הרמב""ם",ספריית דיקטה,https://files.dicta.org.il/shelaldavid/shelaldavid__text_files.zip,https://files.dicta.org.il/shelaldavid/shelaldavid__nikud_meteg_files.zip,https://files.dicta.org.il/shelaldavid/shelaldavid__ocr_data_html_files.zip,shelaldavid_EGT,Shelal David,Commentaries on the Rambam,R. David Moeti,Livorno,,shelaldavid
שבט סופר חלק א,1919,רבי שמחה בונים סופר,בודפסט,"שו""ת",ספריית דיקטה,https://files.dicta.org.il/shevetsofer1/shevetsofer1__text_files.zip,https://files.dicta.org.il/shevetsofer1/shevetsofer1__nikud_meteg_files.zip,https://files.dicta.org.il/shevetsofer1/shevetsofer1__ocr_data_html_files.zip,shevetsofer1_EGT,Shevet Sofer part 1,Responsa,rabbi Śimhah Bunem Sofer,Budapest,,shevetsofer1
שבות יעקב חלק א,1861,רבי יעקב ריישר,למברג,"שו""ת",,https://files.dicta.org.il/shevutyaakov1/shevutyaakov1__text_files.zip,https://files.dicta.org.il/shevutyaakov1/shevutyaakov1__nikud_meteg_files.zip,https://files.dicta.org.il/shevutyaakov1/shevutyaakov1__ocr_data_html_files.zip,shevutyaakov1_EGT,Shevut Yaakov part 1,Responsa,rabbi Yaakov Reisher,Lamberg,,shevutyaakov1
שבות יעקב חלק ב,1861,רבי יעקב ריישר,למברג,"שו""ת",,https://files.dicta.org.il/shevutyaakov2/shevutyaakov2__text_files.zip,https://files.dicta.org.il/shevutyaakov2/shevutyaakov2__nikud_meteg_files.zip,https://files.dicta.org.il/shevutyaakov2/shevutyaakov2__ocr_data_html_files.zip,shevutyaakov2_EGT,Shevut Yaakov part 2,Responsa,rabbi Yaakov Reisher,Lamberg,,shevutyaakov2
שבות יעקב חלק ג,1861,רבי יעקב ריישר,למברג,"שו""ת",,https://files.dicta.org.il/shevutyaakov3/shevutyaakov3__text_files.zip,https://files.dicta.org.il/shevutyaakov3/shevutyaakov3__nikud_meteg_files.zip,https://files.dicta.org.il/shevutyaakov3/shevutyaakov3__ocr_data_html_files.zip,shevutyaakov3_EGT,Shevut Yaakov part 3,Responsa,rabbi Yaakov Reisher,Lamberg,,shevutyaakov3
שואל ונשאל חלק א,1952,רבי כלפון משה הכהן,ג'רבה,"שו""ת",ספריית דיקטה,https://files.dicta.org.il/shoelvenishal1/shoelvenishal1__text_files.zip,https://files.dicta.org.il/shoelvenishal1/shoelvenishal1__nikud_meteg_files.zip,https://files.dicta.org.il/shoelvenishal1/shoelvenishal1__ocr_data_html_files.zip,shoelvenishal1_EGT,Sho’el Ve-Nishal part 1,Responsa,Moshe Kalphon Hacohen,,,shoelvenishal1
שושנת העמקים,1902,רבי יוסף בר מאיר תאומים,ורשא,ספרי מערכות ועניינים,,https://files.dicta.org.il/shoshanathaamakim/shoshanathaamakim__text_files.zip,https://files.dicta.org.il/shoshanathaamakim/shoshanathaamakim__nikud_meteg_files.zip,https://files.dicta.org.il/shoshanathaamakim/shoshanathaamakim__ocr_data_html_files.zip,shoshanathaamakim_EGT,Shoshanat Ha-Amakim,Chiddushim by Topic,Joseph ben Meir Teomim,Warsaw,,shoshanathaamakim
שתי הלחם,1733,רבי משה בן יעקב ישראל חגיז,וואנזיבעק,"שו""ת",ספריית דיקטה,https://files.dicta.org.il/shteihalechem/shteihalechem__text_files.zip,https://files.dicta.org.il/shteihalechem/shteihalechem__nikud_meteg_files.zip,https://files.dicta.org.il/shteihalechem/shteihalechem__ocr_data_html_files.zip,shteihalechem_EGT,Shtei Ha-Lechem,Responsa,Jacob Hagiz,Wandsbek,,shteihalechem
שופריה דיעקב א,1910,רבי יעקב בן יקותיאל בירדוגו,ירושלים,"שו""ת",,https://files.dicta.org.il/shufrehdeyaakov1/shufrehdeyaakov1__text_files.zip,https://files.dicta.org.il/shufrehdeyaakov1/shufrehdeyaakov1__nikud_meteg_files.zip,https://files.dicta.org.il/shufrehdeyaakov1/shufrehdeyaakov1__ocr_data_html_files.zip,shufrehdeyaakov1_EGT,Shufreh DeYaakov Part 1,Responsa,Yaakov Birdugo,Jerusalem,,shufrehdeyaakov1
שופריה דיעקב ב,1910,רבי יעקב בן יקותיאל בירדוגו,ירושלים,"שו""ת",,https://files.dicta.org.il/shufrehdeyaakov2/shufrehdeyaakov2__text_files.zip,https://files.dicta.org.il/shufrehdeyaakov2/shufrehdeyaakov2__nikud_meteg_files.zip,https://files.dicta.org.il/shufrehdeyaakov2/shufrehdeyaakov2__ocr_data_html_files.zip,shufrehdeyaakov2_EGT,Shufreh DeYaakov Part 2,Responsa,Yaakov Birdugo,Jerusalem,,shufrehdeyaakov2
"שו""ת מהר""ם בן חביב",1928,רבי משה בן רבי שלמה אבן חביב,ירושלים,"שו""ת",ספריית דיקטה,https://files.dicta.org.il/shutmaharambenchaviv/shutmaharambenchaviv__text_files.zip,https://files.dicta.org.il/shutmaharambenchaviv/shutmaharambenchaviv__nikud_meteg_files.zip,https://files.dicta.org.il/shutmaharambenchaviv/shutmaharambenchaviv__ocr_data_html_files.zip,shutmaharambenchaviv,Shut Maharam Ben Chaviv,Responsa,Moshe ibn Habib,Jerusalem,,shutmaharambenchaviv
"שו""ת מהרא""פ",1893,"פריד, אהרן בן אלימלך",מונקאטש,"שו""ת",ספריית דיקטה,https://files.dicta.org.il/shutmaharap/shutmaharap__text_files.zip,https://files.dicta.org.il/shutmaharap/shutmaharap__nikud_meteg_files.zip,https://files.dicta.org.il/shutmaharap/shutmaharap__ocr_data_html_files.zip,shutmaharap,Shut Maharap,Responsa,"Fried, Aharon",Monkatch,,shutmaharap
"שו""ת מהר""ש אלפנדרי",1932,ר' שלמה אליעזר אלפנדרי,ירושלים,"שו""ת",ספריית דיקטה,https://files.dicta.org.il/shutmaharsalfandari/shutmaharsalfandari__text_files.zip,https://files.dicta.org.il/shutmaharsalfandari/shutmaharsalfandari__nikud_meteg_files.zip,https://files.dicta.org.il/shutmaharsalfandari/shutmaharsalfandari__ocr_data_html_files.zip,shutmaharsalfandari,Shut Mahars Alfandari,Responsa,"Alfandari, Shlomo Eliezer",Jerusalem,,shutmaharsalfandari
"שו""ת ר' משולם איגרא",1885,ר' משולם איגרא,וורשה,"שו""ת",ספריית דיקטה,https://files.dicta.org.il/shutrabeinumeshulamigra/shutrabeinumeshulamigra__text_files.zip,https://files.dicta.org.il/shutrabeinumeshulamigra/shutrabeinumeshulamigra__nikud_meteg_files.zip,https://files.dicta.org.il/shutrabeinumeshulamigra/shutrabeinumeshulamigra__ocr_data_html_files.zip,shutrabeinumeshulamigra,Shut Rabeinu Meshulam Igra,Responsa,"Igra, Meshulam",Warsaw,,shutrabeinumeshulamigra
סדרי טהרה,1880,רבי אלחנן אשכנזי,ווילנא,מפרשים וחיבורים סביב שולחן ערוך,,https://files.dicta.org.il/sidreitaharah1/sidreitaharah1__text_files.zip,https://files.dicta.org.il/sidreitaharah1/sidreitaharah1__nikud_meteg_files.zip,https://files.dicta.org.il/sidreitaharah1/sidreitaharah1__ocr_data_html_files.zip,sidreitaharah1_EGT,Sidrei Taharah,Commentaries on Shulchan Aruch,rabbi elchanan ashkenazi,Vilna,,sidreitaharah1
שפתי דעת,1882,רבי שלמה אפרים מלונטשיץ,ווארשא,"מפרשי התנ""ך",,https://files.dicta.org.il/sifteidaat/sifteidaat__text_files.zip,https://files.dicta.org.il/sifteidaat/sifteidaat__nikud_meteg_files.zip,https://files.dicta.org.il/sifteidaat/sifteidaat__ocr_data_html_files.zip,sifteidaat,Siftei Daat,Bible Commentaries,rabbi Shlomo Ephraim Luntschitz,Warsaw,,sifteidaat
"שו""ת תעלומות לב חלק א",1879,רבי אליהו בכור חזן,ליוורנו,"שו""ת",ספריית דיקטה,https://files.dicta.org.il/taalumotlev1/taalumotlev1__text_files.zip,https://files.dicta.org.il/taalumotlev1/taalumotlev1__nikud_meteg_files.zip,https://files.dicta.org.il/taalumotlev1/taalumotlev1__ocr_data_html_files.zip,taalumotlev1,Responsa Taalumot Lev part 1,Responsa,"Ḥazan, Eliyahu",Livorno,,taalumotlev1
"שו""ת תעלומות לב חלק ב",1879,רבי אליהו בכור חזן,ליוורנו,"שו""ת",ספריית דיקטה,https://files.dicta.org.il/taalumotlev2/taalumotlev2__text_files.zip,https://files.dicta.org.il/taalumotlev2/taalumotlev2__nikud_meteg_files.zip,https://files.dicta.org.il/taalumotlev2/taalumotlev2__ocr_data_html_files.zip,taalumotlev2,Responsa Taalumot Lev part 2,Responsa,"Ḥazan, Eliyahu",Livorno,,taalumotlev2
