underwentBerelUnflagging,categoryEnglish,printYear,ocrFeDir,printLocationEnglish,textFileURL,notHumanReviewed,category,source,author,printLocation,displayName,nikudMetegFileURL,OCRDataURL,authorEnglish,fileName,displayNameEnglish
,Responsa,1894,mishivdavar1_EGT,Warsaw,https://files.dicta.org.il/mishivdavar1/mishivdavar1__text_files.zip,,"שו""ת",,רבי נפתלי צבי יהודה ברלין,ווארשא,משיב דבר חלק א,https://files.dicta.org.il/mishivdavar1/mishivdavar1__nikud_meteg_files.zip,https://files.dicta.org.il/mishivdavar1/mishivdavar1__ocr_data_html_files.zip,Naftali Zvi Yehuda Berlin,mishivdavar1,Mishiv Davar parts 1
,Responsa,1894,mishivdavar2_EGT,Warsaw,https://files.dicta.org.il/mishivdavar2/mishivdavar2__text_files.zip,,"שו""ת",,רבי נפתלי צבי יהודה ברלין,ווארשא,משיב דבר חלק ב,https://files.dicta.org.il/mishivdavar2/mishivdavar2__nikud_meteg_files.zip,https://files.dicta.org.il/mishivdavar2/mishivdavar2__ocr_data_html_files.zip,Naftali Zvi Yehuda Berlin,mishivdavar2,Mishiv Davar parts 2
,Chiddushim by Topic,1860,mishkanotharoim_EGT,Levorno,https://files.dicta.org.il/mishkanotharoim/mishkanotharoim__text_files.zip,,ספרי מערכות ועניינים,ספריית דיקטה,ר' עוזיאל לחאייך,ליוורנו,משכנות הרועים,https://files.dicta.org.il/mishkanotharoim/mishkanotharoim__nikud_meteg_files.zip,https://files.dicta.org.il/mishkanotharoim/mishkanotharoim__ocr_data_html_files.zip,Uziel Lachaich,mishkanotharoim,Mishkanot Ha-Ro’im
,Acharonim on Talmud Bavli,1862,mishmerotkehunah1_EGT,Livorno,https://files.dicta.org.il/mishmerotkehunah1/mishmerotkehunah1__text_files.zip,,"מפרשי הש""ס (אחרונים)",ספריית דיקטה,הרב אברהם הכהן יצחקי,ליוורנו,משמרות כהונה חלק א,https://files.dicta.org.il/mishmerotkehunah1/mishmerotkehunah1__nikud_meteg_files.zip,https://files.dicta.org.il/mishmerotkehunah1/mishmerotkehunah1__ocr_data_html_files.zip,Avraham ben Yitzhak Hi haCohen Yitzhakו,mishmerotkehunah1,Mishmerot Kehunah part 1
,Acharonim on Talmud Bavli,1862,mishmerotkehunah2_EGT,Livorno,https://files.dicta.org.il/mishmerotkehunah2/mishmerotkehunah2__text_files.zip,,"מפרשי הש""ס (אחרונים)",ספריית דיקטה,הרב אברהם הכהן יצחקי,ליוורנו,משמרות כהונה חלק ב,https://files.dicta.org.il/mishmerotkehunah2/mishmerotkehunah2__nikud_meteg_files.zip,https://files.dicta.org.il/mishmerotkehunah2/mishmerotkehunah2__ocr_data_html_files.zip,Avraham ben Yitzhak Hi haCohen Yitzhakו,mishmerotkehunah2,Mishmerot Kehunah part 2
,Acharonim on Talmud Bavli,1862,mishmerotkehunah3,Livorno,https://files.dicta.org.il/mishmerotkehunah3/mishmerotkehunah3__text_files.zip,,"מפרשי הש""ס (אחרונים)",ספריית דיקטה,הרב אברהם הכהן יצחקי,ליוורנו,משמרות כהונה חלק ג,https://files.dicta.org.il/mishmerotkehunah3/mishmerotkehunah3__nikud_meteg_files.zip,https://files.dicta.org.il/mishmerotkehunah3/mishmerotkehunah3__ocr_data_html_files.zip,Avraham ben Yitzhak Hi haCohen Yitzhakו,mishmerotkehunah3,Mishmerot Kehunah part 3
,Commentaries on the Rambam,1905,mishnehlamelekhaharon_EGT,Jerusalem,https://files.dicta.org.il/mishnehlamelekhaharon/mishnehlamelekhaharon__text_files.zip,,"מפרשים וחיבורים על הרמב""ם",ספריית דיקטה,ר' מרדכי לוריא,ירושלים,"משנה למלך אחרון (הרמב""ם)",https://files.dicta.org.il/mishnehlamelekhaharon/mishnehlamelekhaharon__nikud_meteg_files.zip,https://files.dicta.org.il/mishnehlamelekhaharon/mishnehlamelekhaharon__ocr_data_html_files.zip,Rabbi Mordechai Luria,mishnehlamelekhaharon,Mishneh Lamelekh Aharon (Rambam)
,Responsa,1924,mishnesachir1,,https://files.dicta.org.il/mishnesachir1/mishnesachir1__text_files.zip,,"שו""ת",ספריית דיקטה,רבי ישכר שלמה טייכטאל,ברדיוב,משנה שכיר חלק א,https://files.dicta.org.il/mishnesachir1/mishnesachir1__nikud_meteg_files.zip,https://files.dicta.org.il/mishnesachir1/mishnesachir1__ocr_data_html_files.zip,Yissachar Shlomo Teichtal,mishnesachir1,Mishne Sachir part 1
,Responsa,1891,mishpatimyesharim_EGT,Krakow,https://files.dicta.org.il/mishpatimyesharim/mishpatimyesharim__text_files.zip,,"שו""ת",,רבי רפאל בן מרדכי ברדוגו,קראקא,משפטים ישרים,https://files.dicta.org.il/mishpatimyesharim/mishpatimyesharim__nikud_meteg_files.zip,https://files.dicta.org.il/mishpatimyesharim/mishpatimyesharim__ocr_data_html_files.zip,Raphael Berdugo,mishpatimyesharim,Mishpatim Yesharim
,Responsa,1865,mitzvatkehunah,Livorno,https://files.dicta.org.il/mitzvatkehunah/mitzvatkehunah__text_files.zip,,"שו""ת",ספריית דיקטה,"יצחקי, אברהם בן יצחק חי הכהן",ליוורנו ,מצות כהונה,https://files.dicta.org.il/mitzvatkehunah/mitzvatkehunah__nikud_meteg_files.zip,https://files.dicta.org.il/mitzvatkehunah/mitzvatkehunah__ocr_data_html_files.zip,"Yitzhaki, Avraham",mitzvatkehunah,Mitzvat Kehunah
,Responsa,1843,morvaahalot_EGT,Levorno,https://files.dicta.org.il/morvaahalot/morvaahalot__text_files.zip,,"שו""ת",ספריית דיקטה,רבי אברהם בן יצחק ענתיבי,ליוורנו,מר ואהלות,https://files.dicta.org.il/morvaahalot/morvaahalot__nikud_meteg_files.zip,https://files.dicta.org.il/morvaahalot/morvaahalot__ocr_data_html_files.zip,"Antibi, Abraham ben Isaac",morvaahalot,Mor Va-Ahalot
,Responsa,1896,morvaahalotresponsa,Lamberg,https://files.dicta.org.il/morvaahalotresponsa/morvaahalotresponsa__text_files.zip,,"שו""ת",ספריית דיקטה,ר' אליהו פוסק,לעמברג,מור ואהלות,https://files.dicta.org.il/morvaahalotresponsa/morvaahalotresponsa__nikud_meteg_files.zip,https://files.dicta.org.il/morvaahalotresponsa/morvaahalotresponsa__ocr_data_html_files.zip,rabbi Eliyahu Posek,morvaahalotresponsa,Mor va-ahalot
,Responsa,1878,mutzalmeeshrjacobalfandri,Bratislava,https://files.dicta.org.il/mutzalmeeshrjacobalfandri/mutzalmeeshrjacobalfandri__text_files.zip,,"שו""ת",ספריית דיקטה,רבי יעקב אלפנדרי,פרעסבורג,מוצל מאש (ר' יעקב אלפנדרי),https://files.dicta.org.il/mutzalmeeshrjacobalfandri/mutzalmeeshrjacobalfandri__nikud_meteg_files.zip,https://files.dicta.org.il/mutzalmeeshrjacobalfandri/mutzalmeeshrjacobalfandri__ocr_data_html_files.zip,"Elpandari, Yaakov",mutzalmeeshrjacobalfandri,Mutzal Me-Esh R. Jacob Alfandri
,Responsa,1866,nachalatavot_EGT,Pressburg,https://files.dicta.org.il/nachalatavot/nachalatavot__text_files.zip,,"שו""ת",ספריית דיקטה,רבי ישראל איסר וולף,פרעסבורג,נחלת אבות,https://files.dicta.org.il/nachalatavot/nachalatavot__nikud_meteg_files.zip,https://files.dicta.org.il/nachalatavot/nachalatavot__ocr_data_html_files.zip,Yisroel Isser,nachalatavot,Nachalat Avot
,Acharonim on Talmud Bavli,1944,nachalatdavidbavabatra_EGT,,https://files.dicta.org.il/nachalatdavidbavabatra/nachalatdavidbavabatra__text_files.zip,,"מפרשי הש""ס (אחרונים)",ספריית דיקטה,"דוד טבל בן משה, ממינסק","חמ""ד",נחלת דוד בבא בתרא,https://files.dicta.org.il/nachalatdavidbavabatra/nachalatdavidbavabatra__nikud_meteg_files.zip,https://files.dicta.org.il/nachalatdavidbavabatra/nachalatdavidbavabatra__ocr_data_html_files.zip,Dovid Tevil,nachalatdavidbavabatra,Nachalat David Bava Batra
,Acharonim on Talmud Bavli,1947,nachalatdavidbavakamma,New York,https://files.dicta.org.il/nachalatdavidbavakamma/nachalatdavidbavakamma__text_files.zip,,"מפרשי הש""ס (אחרונים)",ספריית דיקטה,"דוד טבל בן משה, ממינסק",ניו יורק,נחלת דוד בבא קמא,https://files.dicta.org.il/nachalatdavidbavakamma/nachalatdavidbavakamma__nikud_meteg_files.zip,https://files.dicta.org.il/nachalatdavidbavakamma/nachalatdavidbavakamma__ocr_data_html_files.zip,Dovid Tevil,nachalatdavidbavakamma,Nachalat David Bava Kamma
,Acharonim on Talmud Bavli,1947,nachalatdavidbavametzia_EGT,New York,https://files.dicta.org.il/nachalatdavidbavametzia/nachalatdavidbavametzia__text_files.zip,,"מפרשי הש""ס (אחרונים)",ספריית דיקטה,"דוד טבל בן משה, ממינסק",ניו יורק,נחלת דוד בבא מציעא,https://files.dicta.org.il/nachalatdavidbavametzia/nachalatdavidbavametzia__nikud_meteg_files.zip,https://files.dicta.org.il/nachalatdavidbavametzia/nachalatdavidbavametzia__ocr_data_html_files.zip,Dovid Tevil,nachalatdavidbavametzia,Nachalat David Bava Metzia
,Responsa,1884,nachalatshivahmahadurakama2,Warsaw,https://files.dicta.org.il/nachalatshivahmahadurakama2/nachalatshivahmahadurakama2__text_files.zip,,"שו""ת",ספריית דיקטה,"רבי שמואל הלוי סג""ל", ווארשא,נחלת שבעה מהדורא קמא חלק ב,https://files.dicta.org.il/nachalatshivahmahadurakama2/nachalatshivahmahadurakama2__nikud_meteg_files.zip,https://files.dicta.org.il/nachalatshivahmahadurakama2/nachalatshivahmahadurakama2__ocr_data_html_files.zip,David ha-Levi Segal,nachalatshivahmahadurakama2,Nahalat shivah Mahadura Kama part 2
,Bible Commentaries,1887,nachalatyaakov,Lamberg,https://files.dicta.org.il/nachalatyaakov/nachalatyaakov__text_files.zip,,"מפרשי התנ""ך",ספריית דיקטה,"יעקב בן יעקב משה, מליסה",לעמבערג,נחלת יעקב,https://files.dicta.org.il/nachalatyaakov/nachalatyaakov__nikud_meteg_files.zip,https://files.dicta.org.il/nachalatyaakov/nachalatyaakov__ocr_data_html_files.zip,Yaakov ben Yaakov Moshe Lorberbaum of Lissa,nachalatyaakov,Nachalat Yaakov
,Responsa,1851,nachalatyehoshua,Warsaw,https://files.dicta.org.il/nachalatyehoshua/nachalatyehoshua__text_files.zip,,"שו""ת",,הרב יהושע יצחק שפירא ,ווארשא,נחלת יהושע,https://files.dicta.org.il/nachalatyehoshua/nachalatyehoshua__nikud_meteg_files.zip,https://files.dicta.org.il/nachalatyehoshua/nachalatyehoshua__ocr_data_html_files.zip,Yehoshua Isaac Shapiro,nachalatyehoshua,Nachalat Yehoshua
,Commentaries on Shulchan Aruch,1872,nachalyitzchak1_EGT,Vilna,https://files.dicta.org.il/nachalyitzchak1/nachalyitzchak1__text_files.zip,,מפרשים וחיבורים סביב שולחן ערוך,ספריית דיקטה,רבי יצחק אלחנן בן ישראל ספקטור,וילנא,נחל יצחק חלק א,https://files.dicta.org.il/nachalyitzchak1/nachalyitzchak1__nikud_meteg_files.zip,https://files.dicta.org.il/nachalyitzchak1/nachalyitzchak1__ocr_data_html_files.zip,"Spektor, Isaac Elhanan,",nachalyitzchak1,Nachal Yitzchak part 1
,Commentaries on Shulchan Aruch,1872,nachalyitzchak2_EGT,Vilna,https://files.dicta.org.il/nachalyitzchak2/nachalyitzchak2__text_files.zip,,מפרשים וחיבורים סביב שולחן ערוך,ספריית דיקטה,רבי יצחק אלחנן בן ישראל ספקטור,וילנא,נחל יצחק חלק ב,https://files.dicta.org.il/nachalyitzchak2/nachalyitzchak2__nikud_meteg_files.zip,https://files.dicta.org.il/nachalyitzchak2/nachalyitzchak2__ocr_data_html_files.zip,"Spektor, Isaac Elhanan,",nachalyitzchak2,Nachal Yitzchak part 2
,Responsa,1874,nahalatshivahmahadurakama,Lemberg,https://files.dicta.org.il/nahalatshivahmahadurakama/nahalatshivahmahadurakama__text_files.zip,,"שו""ת",ספריית דיקטה,"רבי שמואל הלוי סג""ל ",למברג,נחלת שבעה מהדורה קמא,https://files.dicta.org.il/nahalatshivahmahadurakama/nahalatshivahmahadurakama__nikud_meteg_files.zip,https://files.dicta.org.il/nahalatshivahmahadurakama/nahalatshivahmahadurakama__ocr_data_html_files.zip,Samuel ben David Moses,nahalatshivahmahadurakama,Nahalat Shivah Mahadura Kama
,Responsa,1861,naotdesha,Lʹviv,https://files.dicta.org.il/naotdesha/naotdesha__text_files.zip,,"שו""ת",ספריית דיקטה,רבי דוד שלמה אייבשיץ,לעמבערג,נאות דשא,https://files.dicta.org.il/naotdesha/naotdesha__nikud_meteg_files.zip,https://files.dicta.org.il/naotdesha/naotdesha__ocr_data_html_files.zip,David Solomon Eibeschutz ,naotdesha,Naot Desha
,Commentaries on the Rambam,1931,nativmeir,,https://files.dicta.org.il/nativmeir/nativmeir__text_files.zip,,"מפרשים וחיבורים על הרמב""ם",,"מץ, מאיר ליב בן יהושע מרדכי",קיידאן,נתיב מאיר,https://files.dicta.org.il/nativmeir/nativmeir__nikud_meteg_files.zip,https://files.dicta.org.il/nativmeir/nativmeir__ocr_data_html_files.zip,"Metz, Meir Liv ben Yehoshua Mordechai",nativmeir,Nativ Meir
,Responsa,1899,neotyaakov1,Warsaw,https://files.dicta.org.il/neotyaakov1/neotyaakov1__text_files.zip,,"שו""ת",ספריית דיקטה,"אלגאזי, ישראל יעקב בן יום טוב",ורשה,נאות יעקב חלק א,https://files.dicta.org.il/neotyaakov1/neotyaakov1__nikud_meteg_files.zip,https://files.dicta.org.il/neotyaakov1/neotyaakov1__ocr_data_html_files.zip,Israel Yaakov Algazi,neotyaakov1,Neot Yaakov part 1
,Halachah and Minhagim,1899,neotyaakov2,Warsaw,https://files.dicta.org.il/neotyaakov2/neotyaakov2__text_files.zip,,ספרי הלכה ומנהג,ספריית דיקטה,"אלגאזי, ישראל יעקב בן יום טוב",ורשה,נאות יעקב חלק ב,https://files.dicta.org.il/neotyaakov2/neotyaakov2__nikud_meteg_files.zip,https://files.dicta.org.il/neotyaakov2/neotyaakov2__ocr_data_html_files.zip,Israel Yaakov Algazi,neotyaakov2,Neot Yaakov part 2
,Commentaries on the Rambam,1844,neumdavidrambam,Livorno,https://files.dicta.org.il/neumdavidrambam/neumdavidrambam__text_files.zip,,"מפרשים וחיבורים על הרמב""ם",ספריית דיקטה,ר' דוד מועטי,ליוורנו,"נאם דוד (רמב""ם)",https://files.dicta.org.il/neumdavidrambam/neumdavidrambam__nikud_meteg_files.zip,https://files.dicta.org.il/neumdavidrambam/neumdavidrambam__ocr_data_html_files.zip,R. David Moeti,neumdavidrambam,Ne’um David (Rambam)
,Acharonim on Talmud Bavli,1945,nezerhakodeshbekhorot,New York,https://files.dicta.org.il/nezerhakodeshbekhorot/nezerhakodeshbekhorot__text_files.zip,,"מפרשי הש""ס (אחרונים)",ספריית דיקטה,ר' משה רוזין,ניו יורק,נזר הקודש - בכורות,https://files.dicta.org.il/nezerhakodeshbekhorot/nezerhakodeshbekhorot__nikud_meteg_files.zip,https://files.dicta.org.il/nezerhakodeshbekhorot/nezerhakodeshbekhorot__ocr_data_html_files.zip,Moshe Rosen,nezerhakodeshbekhorot,nezer hakodesh (Bekhorot )
,Acharonim on Talmud Bavli,1950,nezerhakodeshchullin,New York,https://files.dicta.org.il/nezerhakodeshchullin/nezerhakodeshchullin__text_files.zip,,"מפרשי הש""ס (אחרונים)",ספריית דיקטה,ר' משה רוזין,ניו יורק,נזר הקודש - חולין,https://files.dicta.org.il/nezerhakodeshchullin/nezerhakodeshchullin__nikud_meteg_files.zip,https://files.dicta.org.il/nezerhakodeshchullin/nezerhakodeshchullin__ocr_data_html_files.zip,Moshe Rosen,nezerhakodeshchullin,nezer hakodesh (kritot)
,Acharonim on Talmud Bavli,1943,nezerhakodeshmeilah,New York,https://files.dicta.org.il/nezerhakodeshmeilah/nezerhakodeshmeilah__text_files.zip,,"מפרשי הש""ס (אחרונים)",ספריית דיקטה,ר' משה רוזין,ניו יורק,נזר הקודש - מעילה,https://files.dicta.org.il/nezerhakodeshmeilah/nezerhakodeshmeilah__nikud_meteg_files.zip,https://files.dicta.org.il/nezerhakodeshmeilah/nezerhakodeshmeilah__ocr_data_html_files.zip,Moshe Rosen,nezerhakodeshmeilah,nezer hakodesh (Meilah)
,Acharonim on Talmud Bavli,1934,nezerhakodeshmenachot,New York,https://files.dicta.org.il/nezerhakodeshmenachot/nezerhakodeshmenachot__text_files.zip,,"מפרשי הש""ס (אחרונים)",ספריית דיקטה,ר' משה רוזין,ניו יורק,נזר הקודש - מנחות,https://files.dicta.org.il/nezerhakodeshmenachot/nezerhakodeshmenachot__nikud_meteg_files.zip,https://files.dicta.org.il/nezerhakodeshmenachot/nezerhakodeshmenachot__ocr_data_html_files.zip,Moshe Rosen,nezerhakodeshmenachot,nezer hakodesh (Menachot)
,Acharonim on Talmud Bavli,1951,nezerhakodeshtamid,New York,https://files.dicta.org.il/nezerhakodeshtamid/nezerhakodeshtamid__text_files.zip,,"מפרשי הש""ס (אחרונים)",ספריית דיקטה,ר' משה רוזין,ניו יורק,נזר הקודש - תמיד,https://files.dicta.org.il/nezerhakodeshtamid/nezerhakodeshtamid__nikud_meteg_files.zip,https://files.dicta.org.il/nezerhakodeshtamid/nezerhakodeshtamid__ocr_data_html_files.zip,Moshe Rosen,nezerhakodeshtamid,nezer hakodesh (Tamid)
,Acharonim on Talmud Bavli,1930,nezerhakodeshzevachim,New York,https://files.dicta.org.il/nezerhakodeshzevachim/nezerhakodeshzevachim__text_files.zip,,"מפרשי הש""ס (אחרונים)",ספריית דיקטה,ר' משה רוזין,ניו יורק,נזר הקודש - זבחים,https://files.dicta.org.il/nezerhakodeshzevachim/nezerhakodeshzevachim__nikud_meteg_files.zip,https://files.dicta.org.il/nezerhakodeshzevachim/nezerhakodeshzevachim__ocr_data_html_files.zip,Moshe Rosen,nezerhakodeshzevachim,nezer hakodesh (Zevachim)
,Responsa,1857,nishaldavidresponsa,Levorno,https://files.dicta.org.il/nishaldavidresponsa/nishaldavidresponsa__text_files.zip,,"שו""ת",ספריית דיקטה,הרב דוד בונאן,ליוורנו,"נשאל דוד (שו""ת)",https://files.dicta.org.il/nishaldavidresponsa/nishaldavidresponsa__nikud_meteg_files.zip,https://files.dicta.org.il/nishaldavidresponsa/nishaldavidresponsa__ocr_data_html_files.zip,David Bonan,nishaldavidresponsa,Nishal David Responsa
,Jewish thought,1878,nishmatchayim,Warsaw,https://files.dicta.org.il/nishmatchayim/nishmatchayim__text_files.zip,,מחשבה יהודית,,הרב מנשה בן ישראל,ווארשא,נשמת חיים,https://files.dicta.org.il/nishmatchayim/nishmatchayim__nikud_meteg_files.zip,https://files.dicta.org.il/nishmatchayim/nishmatchayim__ocr_data_html_files.zip,rabbi menasseh ben israel,nishmatchayim,Nishmat Chayim
,Yerushalmi Commentaries,1869,noamyerushalamimoed,Vilna,https://files.dicta.org.il/noamyerushalamimoed/noamyerushalamimoed__text_files.zip,,מפרשים וחיבורים על הירושלמי,ספריית דיקטה,"שפירא, יהושע איזיק בן יחיאל",וילנה,נועם ירושלמי על מועד,https://files.dicta.org.il/noamyerushalamimoed/noamyerushalamimoed__nikud_meteg_files.zip,https://files.dicta.org.il/noamyerushalamimoed/noamyerushalamimoed__ocr_data_html_files.zip,Yehoshua Izaik bar Yehiel Shapiro,noamyerushalamimoed,Noam Yerushalami Moed
,Yerushalmi Commentaries,1869,noamyerushalaminashim,Vilna,https://files.dicta.org.il/noamyerushalaminashim/noamyerushalaminashim__text_files.zip,,מפרשים וחיבורים על הירושלמי,ספריית דיקטה,"שפירא, יהושע איזיק בן יחיאל",וילנה,נועם ירושלמי על נשים,https://files.dicta.org.il/noamyerushalaminashim/noamyerushalaminashim__nikud_meteg_files.zip,https://files.dicta.org.il/noamyerushalaminashim/noamyerushalaminashim__ocr_data_html_files.zip,Yehoshua Izaik bar Yehiel Shapiro,noamyerushalaminashim,Noam Yerushalami Nashim
,Yerushalmi Commentaries,1869,noamyerushalaminezikin,Vilna,https://files.dicta.org.il/noamyerushalaminezikin/noamyerushalaminezikin__text_files.zip,,מפרשים וחיבורים על הירושלמי,ספריית דיקטה,"שפירא, יהושע איזיק בן יחיאל",וילנה,נועם ירושלמי על נזיקין,https://files.dicta.org.il/noamyerushalaminezikin/noamyerushalaminezikin__nikud_meteg_files.zip,https://files.dicta.org.il/noamyerushalaminezikin/noamyerushalaminezikin__ocr_data_html_files.zip,Yehoshua Izaik bar Yehiel Shapiro,noamyerushalaminezikin,Noam Yerushalami Nezikin
,Yerushalmi Commentaries,1869,noamyerushalamizeraim,Vilna,https://files.dicta.org.il/noamyerushalamizeraim/noamyerushalamizeraim__text_files.zip,,מפרשים וחיבורים על הירושלמי,ספריית דיקטה,"שפירא, יהושע איזיק בן יחיאל",וילנה,נועם ירושלמי על זרעים,https://files.dicta.org.il/noamyerushalamizeraim/noamyerushalamizeraim__nikud_meteg_files.zip,https://files.dicta.org.il/noamyerushalamizeraim/noamyerushalamizeraim__ocr_data_html_files.zip,Yehoshua Izaik bar Yehiel Shapiro,noamyerushalamizeraim,Noam Yerushalami Zeraim
,Responsa,1913,noseihaephod_EGT,Sofia,https://files.dicta.org.il/noseihaephod/noseihaephod__text_files.zip,,"שו""ת",ספריית דיקטה,רבי דוד פיפאנו,סופיה,נושא האפוד,https://files.dicta.org.il/noseihaephod/noseihaephod__nikud_meteg_files.zip,https://files.dicta.org.il/noseihaephod/noseihaephod__ocr_data_html_files.zip,Dovid Ben Avraham Pipeno,noseihaephod,Nosei Ha-Ephod
,Responsa,1886,ohelavraham,Jerusalem,https://files.dicta.org.il/ohelavraham/ohelavraham__text_files.zip,,"שו""ת",ספריית דיקטה,"צוובנר, אברהם בן יהודה ליב שאג",ירושלים,אהל אברהם,https://files.dicta.org.il/ohelavraham/ohelavraham__nikud_meteg_files.zip,https://files.dicta.org.il/ohelavraham/ohelavraham__ocr_data_html_files.zip,Avraham Ben Yehudah Leib Shag Tzuber,ohelavraham,Ohel Avraham
,Acharonim on Talmud Bavli,1867,oheldovidmasechetotshonot,Uzhgorod,https://files.dicta.org.il/oheldovidmasechetotshonot/oheldovidmasechetotshonot__text_files.zip,,"מפרשי הש""ס (אחרונים)",ספריית דיקטה,"דייטש, דוד בן מנחם מנדל",אונגואר,אהל דוד מסכתות שונות,https://files.dicta.org.il/oheldovidmasechetotshonot/oheldovidmasechetotshonot__nikud_meteg_files.zip,https://files.dicta.org.il/oheldovidmasechetotshonot/oheldovidmasechetotshonot__ocr_data_html_files.zip,Dovid Deitch,oheldovidmasechetotshonot,Ohel Dovid masechetot shonot
,Acharonim on Talmud Bavli,1835,oheldovidshevuotyevamot,Bratislava,https://files.dicta.org.il/oheldovidshevuotyevamot/oheldovidshevuotyevamot__text_files.zip,,"מפרשי הש""ס (אחרונים)",ספריית דיקטה,"דייטש, דוד בן מנחם מנדל",ברטיסלבה,אהל דוד שבועות יבמות,https://files.dicta.org.il/oheldovidshevuotyevamot/oheldovidshevuotyevamot__nikud_meteg_files.zip,https://files.dicta.org.il/oheldovidshevuotyevamot/oheldovidshevuotyevamot__ocr_data_html_files.zip,Dovid Deitch,oheldovidshevuotyevamot,Ohel Dovid shevuot yevamot
,Responsa,1880,ohelmosheresponsa,Vilna,https://files.dicta.org.il/ohelmosheresponsa/ohelmosheresponsa__text_files.zip,,"שו""ת",,רבי משה בן נחמן קרינס,וילנה,"שו""ת אהל משה",https://files.dicta.org.il/ohelmosheresponsa/ohelmosheresponsa__nikud_meteg_files.zip,https://files.dicta.org.il/ohelmosheresponsa/ohelmosheresponsa__ocr_data_html_files.zip,rabbi Mosheh ben Nahman Krainesh,ohelmosheresponsa,Responsa Ohel Moshe
,Responsa,1936,ohevmishpat1_EGT,Djerba,https://files.dicta.org.il/ohevmishpat1/ohevmishpat1__text_files.zip,,"שו""ת",ספריית דיקטה,רבי פראג'י אלוש, ג'רבה,אוהב משפט חלק א,https://files.dicta.org.il/ohevmishpat1/ohevmishpat1__nikud_meteg_files.zip,https://files.dicta.org.il/ohevmishpat1/ohevmishpat1__ocr_data_html_files.zip,rabbi Pargi alush,ohevmishpat1,Ohev Mishpat part 1
,Sifrei Chasidut,1863,ohevyisrael_EGT,Z︠H︡ytomyr,https://files.dicta.org.il/ohevyisrael/ohevyisrael__text_files.zip,,ספרי חסידות,ספריית דיקטה,ר' אברהם יהושע השל מאפטא,ז'יטומיר,אוהב ישראל,https://files.dicta.org.il/ohevyisrael/ohevyisrael__nikud_meteg_files.zip,https://files.dicta.org.il/ohevyisrael/ohevyisrael__ocr_data_html_files.zip,Avraham Yehoshua Heshel,ohevyisrael,Ohev Yisrael
,Bible Commentaries,1911,ohrdavid,Bilgora,https://files.dicta.org.il/ohrdavid/ohrdavid__text_files.zip,,"מפרשי התנ""ך",ספריית דיקטה,"מייזלש, דוד דוב בן אהרן אריה יהודה יעקב",בילגורי ,אור דוד,https://files.dicta.org.il/ohrdavid/ohrdavid__nikud_meteg_files.zip,https://files.dicta.org.il/ohrdavid/ohrdavid__ocr_data_html_files.zip,David Dov Meisels,ohrdavid,Ohr David
,Acharonim on Talmud Bavli,1921,ohrhayasharbekhorot,Jerusalem,https://files.dicta.org.il/ohrhayasharbekhorot/ohrhayasharbekhorot__text_files.zip,,"מפרשי הש""ס (אחרונים)",ספריית דיקטה,ר' שמואל יצחק הילמן,ירושלים,אור הישר (בכורות),https://files.dicta.org.il/ohrhayasharbekhorot/ohrhayasharbekhorot__nikud_meteg_files.zip,https://files.dicta.org.il/ohrhayasharbekhorot/ohrhayasharbekhorot__ocr_data_html_files.zip,Shmuel Yitzchak Hillman,ohrhayasharbekhorot,Ohr Hayashar Bekhorot
,Acharonim on Talmud Bavli,1931,ohrhayasharchullin,,https://files.dicta.org.il/ohrhayasharchullin/ohrhayasharchullin__text_files.zip,,"מפרשי הש""ס (אחרונים)",ספריית דיקטה,ר' שמואל יצחק הילמן,קיידאן,אור הישר (חולין),https://files.dicta.org.il/ohrhayasharchullin/ohrhayasharchullin__nikud_meteg_files.zip,https://files.dicta.org.il/ohrhayasharchullin/ohrhayasharchullin__ocr_data_html_files.zip,Shmuel Yitzchak Hillman,ohrhayasharchullin,Ohr Hayashar Chullin
,Acharonim on Talmud Bavli,1944,ohrhayasharnashim1,Jerusalem,https://files.dicta.org.il/ohrhayasharnashim1/ohrhayasharnashim1__text_files.zip,,"מפרשי הש""ס (אחרונים)",ספריית דיקטה,ר' שמואל יצחק הילמן,ירושלים,אור הישר (נשים א),https://files.dicta.org.il/ohrhayasharnashim1/ohrhayasharnashim1__nikud_meteg_files.zip,https://files.dicta.org.il/ohrhayasharnashim1/ohrhayasharnashim1__ocr_data_html_files.zip,Shmuel Yitzchak Hillman,ohrhayasharnashim1,Ohr Hayashar Nashim 1
,Acharonim on Talmud Bavli,1944,ohrhayasharnashim2,Jerusalem,https://files.dicta.org.il/ohrhayasharnashim2/ohrhayasharnashim2__text_files.zip,,"מפרשי הש""ס (אחרונים)",ספריית דיקטה,ר' שמואל יצחק הילמן,ירושלים,אור הישר (נשים ב),https://files.dicta.org.il/ohrhayasharnashim2/ohrhayasharnashim2__nikud_meteg_files.zip,https://files.dicta.org.il/ohrhayasharnashim2/ohrhayasharnashim2__ocr_data_html_files.zip,Shmuel Yitzchak Hillman,ohrhayasharnashim2,Ohr Hayashar Nashim 2
