title,PubDate,pubPlace,compPlace,compDate,heShortDesc,order,heDesc
ברטנורא על משנה טהרות, (1549 לספירה),ונציה,, (1482 לספירה),,,
ברטנורא על משנה טבול יום, (1549 לספירה),ונציה,, (1482 לספירה),,,
ברטנורא על משנה ידים, (1549 לספירה),ונציה,, (1482 לספירה),,,
ברטנורא על משנה זבים, (1549 לספירה),ונציה,, (1482 לספירה),,,
ברטנורא על משנה ברכות, (1549 לספירה),ונציה,, (1482 לספירה),,,
ברטנורא על משנה ביכורים, (1549 לספירה),ונציה,, (1482 לספירה),,,
ברטנורא על משנה חלה, (1549 לספירה),ונציה,, (1482 לספירה),,,
ברטנורא על משנה דמאי, (1549 לספירה),ונציה,, (1482 לספירה),,,
ברטנורא על משנה כלאים, (1549 לספירה),ונציה,, (1482 לספירה),,,
ברטנורא על משנה מעשר שני, (1549 לספירה),ונציה,, (1482 לספירה),,,
ברטנורא על משנה מעשרות, (1549 לספירה),ונציה,, (1482 לספירה),,,
ברטנורא על משנה ערלה, (1549 לספירה),ונציה,, (1482 לספירה),,,
ברטנורא על משנה פאה, (1549 לספירה),ונציה,, (1482 לספירה),,,
ברטנורא על משנה שביעית, (1549 לספירה),ונציה,, (1482 לספירה),,,
ברטנורא על משנה תרומות, (1549 לספירה),ונציה,, (1482 לספירה),,,
מגן אבות, (1762 לספירה),"ליבורנו, איטליה",אלג'יר, (1390 – 1440 לספירה בקירוב),,,"ביאור לפרקי אבות משמעון בן צמח דוראן (רשב""ץ). הביאור הוא חלק רביעי מספרו הגדול ""מגן אבות"" בעניני פילוסופיה."
רבינו שמעיה על משנה מדות,,,צרפת של ימי הביניים, (1085 – 1135 לספירה בקירוב),,,
"ראב""ד על משנה דמאי",,,,,,,"ראב""ד (אברהם בן דוד מפּוֹשְקְיֶרָה, המאה ה-12) כתב פירושים רבים על ששה סדרי משנה והתלמוד הבבלי. פירושים אלה כוללים הסברים על דרך הפשט,  כמו גם ניתוחים הלכתיים מורכבים יותר. הם זכו לכבוד רב על ידי תלמידי חכמים אחרים בדורו, אך מעטים שרדו עד ימינו. מתוך פירושו של הראב""ד על מסכת דמאי, הדנה בדיני תבואה ופירות שספק אם הפרישו מהם תרומות ומעשרות, נותרו בידינו רק חלקים בודדים. "
"ראב""ד על משנה עדיות", (1529 – 1530 לספירה),ונציה,"פרובנס, צרפת", (1140 – 1190 לספירה בקירוב),,,
"ראב""ד על משנה קינים",,,,,,,"ראב""ד (אברהם בן דוד מפּוֹשְקְיֶרָה, המאה ה-12) כתב פירושים רבים על ששה סדרי משנה והתלמוד הבבלי. פירושים אלה כוללים הסברים על דרך הפשט,  כמו גם ניתוחים הלכתיים מורכבים יותר. הם זכו לכבוד רב על ידי תלמידי חכמים אחרים בדורו, אך מעטים שרדו עד ימינו.  פירושו של הראב""ד לקינים, מסכת בסוף סדר קדשים הדנה בדיני מנחות ציפורים מעורבות, היא אחד הכרכים הבודדים הקיימים של פירושים אלה ומתחילה בשיר קצר המבקש את עזרת ה' בהבנת המסכת. "
רבינו יונה על פרקי אבות, (1848 לספירה),ברלין,, (1200 – 1260 לספירה בקירוב),,,
"הקדמת הרמב""ם למשנה", (1492 לספירה),נאפולי,, (1160 – 1168 לספירה בקירוב),,,
"רמב""ם הקדמה לסדר קודשים", (1492 לספירה),נאפולי,, (1160 – 1168 לספירה בקירוב),,,
"רמב""ם על משנה ערכין", (1492 לספירה),נאפולי,, (1160 – 1168 לספירה בקירוב),,,"פירושו של הרמב""ם הוא הראשון שנכתב על כל המשנה, והוא אחד הפירושים החשובים שעל המשנה. הרמב""ם כתבו בצעירותו בשפה הערבית-יהודית, ותורגם פעמים רבות לעברית. הפירוש מכיל ביאור קצר לכל משנה ודיון מעמיק בעניינים המרכזיים שבה. בסוף כל עניין הוא פוסק הלכה על-פי מסקנת התלמוד."
"רמב""ם על משנה בכורות", (1492 לספירה),נאפולי,, (1160 – 1168 לספירה בקירוב),,,"פירושו של הרמב""ם הוא הראשון שנכתב על כל המשנה, והוא אחד הפירושים החשובים שעל המשנה. הרמב""ם כתבו בצעירותו בשפה הערבית-יהודית, ותורגם פעמים רבות לעברית. הפירוש מכיל ביאור קצר לכל משנה ודיון מעמיק בעניינים המרכזיים שבה. בסוף כל עניין הוא פוסק הלכה על-פי מסקנת התלמוד."
"רמב""ם על משנה חולין", (1492 לספירה),נאפולי,, (1160 – 1168 לספירה בקירוב),,,"פירושו של הרמב""ם הוא הראשון שנכתב על כל המשנה, והוא אחד הפירושים החשובים שעל המשנה. הרמב""ם כתבו בצעירותו בשפה הערבית-יהודית, ותורגם פעמים רבות לעברית. הפירוש מכיל ביאור קצר לכל משנה ודיון מעמיק בעניינים המרכזיים שבה. בסוף כל עניין הוא פוסק הלכה על-פי מסקנת התלמוד."
"רמב""ם על משנה כריתות", (1492 לספירה),נאפולי,, (1160 – 1168 לספירה בקירוב),,,"פירושו של הרמב""ם הוא הראשון שנכתב על כל המשנה, והוא אחד הפירושים החשובים שעל המשנה. הרמב""ם כתבו בצעירותו בשפה הערבית-יהודית, ותורגם פעמים רבות לעברית. הפירוש מכיל ביאור קצר לכל משנה ודיון מעמיק בעניינים המרכזיים שבה. בסוף כל עניין הוא פוסק הלכה על-פי מסקנת התלמוד."
"רמב""ם על משנה קינים", (1492 לספירה),נאפולי,, (1160 – 1168 לספירה בקירוב),,,"פירושו של הרמב""ם הוא הראשון שנכתב על כל המשנה, והוא אחד הפירושים החשובים שעל המשנה. הרמב""ם כתבו בצעירותו בשפה הערבית-יהודית, ותורגם פעמים רבות לעברית. הפירוש מכיל ביאור קצר לכל משנה ודיון מעמיק בעניינים המרכזיים שבה. בסוף כל עניין הוא פוסק הלכה על-פי מסקנת התלמוד."
"רמב""ם על משנה מעילה", (1492 לספירה),נאפולי,, (1160 – 1168 לספירה בקירוב),,,"פירושו של הרמב""ם הוא הראשון שנכתב על כל המשנה, והוא אחד הפירושים החשובים שעל המשנה. הרמב""ם כתבו בצעירותו בשפה הערבית-יהודית, ותורגם פעמים רבות לעברית. הפירוש מכיל ביאור קצר לכל משנה ודיון מעמיק בעניינים המרכזיים שבה. בסוף כל עניין הוא פוסק הלכה על-פי מסקנת התלמוד."
"רמב""ם על משנה מנחות", (1492 לספירה),נאפולי,, (1160 – 1168 לספירה בקירוב),,,"פירושו של הרמב""ם הוא הראשון שנכתב על כל המשנה, והוא אחד הפירושים החשובים שעל המשנה. הרמב""ם כתבו בצעירותו בשפה הערבית-יהודית, ותורגם פעמים רבות לעברית. הפירוש מכיל ביאור קצר לכל משנה ודיון מעמיק בעניינים המרכזיים שבה. בסוף כל עניין הוא פוסק הלכה על-פי מסקנת התלמוד."
"רמב""ם משנה מדות", (1492 לספירה),נאפולי,, (1160 – 1168 לספירה בקירוב),,,"פירושו של הרמב""ם הוא הראשון שנכתב על כל המשנה, והוא אחד הפירושים החשובים שעל המשנה. הרמב""ם כתבו בצעירותו בשפה הערבית-יהודית, ותורגם פעמים רבות לעברית. הפירוש מכיל ביאור קצר לכל משנה ודיון מעמיק בעניינים המרכזיים שבה. בסוף כל עניין הוא פוסק הלכה על-פי מסקנת התלמוד."
"רמב""ם על משנה תמיד", (1492 לספירה),נאפולי,, (1160 – 1168 לספירה בקירוב),,,"פירושו של הרמב""ם הוא הראשון שנכתב על כל המשנה, והוא אחד הפירושים החשובים שעל המשנה. הרמב""ם כתבו בצעירותו בשפה הערבית-יהודית, ותורגם פעמים רבות לעברית. הפירוש מכיל ביאור קצר לכל משנה ודיון מעמיק בעניינים המרכזיים שבה. בסוף כל עניין הוא פוסק הלכה על-פי מסקנת התלמוד."
"רמב""ם על משנה תמורה", (1492 לספירה),נאפולי,, (1160 – 1168 לספירה בקירוב),,,"פירושו של הרמב""ם הוא הראשון שנכתב על כל המשנה, והוא אחד הפירושים החשובים שעל המשנה. הרמב""ם כתבו בצעירותו בשפה הערבית-יהודית, ותורגם פעמים רבות לעברית. הפירוש מכיל ביאור קצר לכל משנה ודיון מעמיק בעניינים המרכזיים שבה. בסוף כל עניין הוא פוסק הלכה על-פי מסקנת התלמוד."
"רמב""ם על משנה זבחים", (1492 לספירה),נאפולי,, (1153 – 1173 לספירה בקירוב),,,
"רמב""ם משנה ביצה", (1492 לספירה),נאפולי,, (1160 – 1168 לספירה בקירוב),,,"פירושו של הרמב""ם הוא הראשון שנכתב על כל המשנה, והוא אחד הפירושים החשובים שעל המשנה. הרמב""ם כתבו בצעירותו בשפה הערבית-יהודית, ותורגם פעמים רבות לעברית. הפירוש מכיל ביאור קצר לכל משנה ודיון מעמיק בעניינים המרכזיים שבה. בסוף כל עניין הוא פוסק הלכה על-פי מסקנת התלמוד."
"רמב""ם משנה חגיגה", (1492 לספירה),נאפולי,, (1160 – 1168 לספירה בקירוב),,,"פירושו של הרמב""ם הוא הראשון שנכתב על כל המשנה, והוא אחד הפירושים החשובים שעל המשנה. הרמב""ם כתבו בצעירותו בשפה הערבית-יהודית, ותורגם פעמים רבות לעברית. הפירוש מכיל ביאור קצר לכל משנה ודיון מעמיק בעניינים המרכזיים שבה. בסוף כל עניין הוא פוסק הלכה על-פי מסקנת התלמוד."
"רמב""ם משנה עירובין", (1492 לספירה),נאפולי,, (1160 – 1168 לספירה בקירוב),,,"פירושו של הרמב""ם הוא הראשון שנכתב על כל המשנה, והוא אחד הפירושים החשובים שעל המשנה. הרמב""ם כתבו בצעירותו בשפה הערבית-יהודית, ותורגם פעמים רבות לעברית. הפירוש מכיל ביאור קצר לכל משנה ודיון מעמיק בעניינים המרכזיים שבה. בסוף כל עניין הוא פוסק הלכה על-פי מסקנת התלמוד."
"רמב""ם על משנה מגילה", (1492 לספירה),נאפולי,, (1160 – 1168 לספירה בקירוב),,,"פירושו של הרמב""ם הוא הראשון שנכתב על כל המשנה, והוא אחד הפירושים החשובים שעל המשנה. הרמב""ם כתבו בצעירותו בשפה הערבית-יהודית, ותורגם פעמים רבות לעברית. הפירוש מכיל ביאור קצר לכל משנה ודיון מעמיק בעניינים המרכזיים שבה. בסוף כל עניין הוא פוסק הלכה על-פי מסקנת התלמוד."
"רמב""ם על משנה מועד קטן", (1492 לספירה),נאפולי,, (1160 – 1168 לספירה בקירוב),,,"פירושו של הרמב""ם הוא הראשון שנכתב על כל המשנה, והוא אחד הפירושים החשובים שעל המשנה. הרמב""ם כתבו בצעירותו בשפה הערבית-יהודית, ותורגם פעמים רבות לעברית. הפירוש מכיל ביאור קצר לכל משנה ודיון מעמיק בעניינים המרכזיים שבה. בסוף כל עניין הוא פוסק הלכה על-פי מסקנת התלמוד."
"רמב""ם על משנה פסחים", (1492 לספירה),נאפולי,, (1160 – 1168 לספירה בקירוב),,,"פירושו של הרמב""ם הוא הראשון שנכתב על כל המשנה, והוא אחד הפירושים החשובים שעל המשנה. הרמב""ם כתבו בצעירותו בשפה הערבית-יהודית, ותורגם פעמים רבות לעברית. הפירוש מכיל ביאור קצר לכל משנה ודיון מעמיק בעניינים המרכזיים שבה. בסוף כל עניין הוא פוסק הלכה על-פי מסקנת התלמוד."
"רמב""ם על משנה ראש השנה", (1492 לספירה),נאפולי,, (1160 – 1168 לספירה בקירוב),,,"פירושו של הרמב""ם הוא הראשון שנכתב על כל המשנה, והוא אחד הפירושים החשובים שעל המשנה. הרמב""ם כתבו בצעירותו בשפה הערבית-יהודית, ותורגם פעמים רבות לעברית. הפירוש מכיל ביאור קצר לכל משנה ודיון מעמיק בעניינים המרכזיים שבה. בסוף כל עניין הוא פוסק הלכה על-פי מסקנת התלמוד."
"רמב""ם על משנה שבת", (1492 לספירה),נאפולי,, (1160 – 1168 לספירה בקירוב),,,"פירושו של הרמב""ם הוא הראשון שנכתב על כל המשנה, והוא אחד הפירושים החשובים שעל המשנה. הרמב""ם כתבו בצעירותו בשפה הערבית-יהודית, ותורגם פעמים רבות לעברית. הפירוש מכיל ביאור קצר לכל משנה ודיון מעמיק בעניינים המרכזיים שבה. בסוף כל עניין הוא פוסק הלכה על-פי מסקנת התלמוד."
"רמב""ם על משנה שקלים", (1492 לספירה),נאפולי,, (1160 – 1168 לספירה בקירוב),,,
"רמב""ם משנה סוכה", (1492 לספירה),נאפולי,, (1160 – 1168 לספירה בקירוב),,,"פירושו של הרמב""ם הוא הראשון שנכתב על כל המשנה, והוא אחד הפירושים החשובים שעל המשנה. הרמב""ם כתבו בצעירותו בשפה הערבית-יהודית, ותורגם פעמים רבות לעברית. הפירוש מכיל ביאור קצר לכל משנה ודיון מעמיק בעניינים המרכזיים שבה. בסוף כל עניין הוא פוסק הלכה על-פי מסקנת התלמוד."
"רמב""ם משנה תענית", (1492 לספירה),נאפולי,, (1160 – 1168 לספירה בקירוב),,,"פירושו של הרמב""ם הוא הראשון שנכתב על כל המשנה, והוא אחד הפירושים החשובים שעל המשנה. הרמב""ם כתבו בצעירותו בשפה הערבית-יהודית, ותורגם פעמים רבות לעברית. הפירוש מכיל ביאור קצר לכל משנה ודיון מעמיק בעניינים המרכזיים שבה. בסוף כל עניין הוא פוסק הלכה על-פי מסקנת התלמוד."
"רמב""ם משנה יומא", (1492 לספירה),נאפולי,, (1160 – 1168 לספירה בקירוב),,,"פירושו של הרמב""ם הוא הראשון שנכתב על כל המשנה, והוא אחד הפירושים החשובים שעל המשנה. הרמב""ם כתבו בצעירותו בשפה הערבית-יהודית, ותורגם פעמים רבות לעברית. הפירוש מכיל ביאור קצר לכל משנה ודיון מעמיק בעניינים המרכזיים שבה. בסוף כל עניין הוא פוסק הלכה על-פי מסקנת התלמוד."
"רמב""ם על משנה גיטין", (1492 לספירה),נאפולי,, (1160 – 1168 לספירה בקירוב),,,"פירושו של הרמב""ם הוא הראשון שנכתב על כל המשנה, והוא אחד הפירושים החשובים שעל המשנה. הרמב""ם כתבו בצעירותו בשפה הערבית-יהודית, ותורגם פעמים רבות לעברית. הפירוש מכיל ביאור קצר לכל משנה ודיון מעמיק בעניינים המרכזיים שבה. בסוף כל עניין הוא פוסק הלכה על-פי מסקנת התלמוד."
"רמב""ם על משנה כתובות", (1492 לספירה),נאפולי,, (1160 – 1168 לספירה בקירוב),,,"פירושו של הרמב""ם הוא הראשון שנכתב על כל המשנה, והוא אחד הפירושים החשובים שעל המשנה. הרמב""ם כתבו בצעירותו בשפה הערבית-יהודית, ותורגם פעמים רבות לעברית. הפירוש מכיל ביאור קצר לכל משנה ודיון מעמיק בעניינים המרכזיים שבה. בסוף כל עניין הוא פוסק הלכה על-פי מסקנת התלמוד."
"רמב""ם על משנה קידושין", (1492 לספירה),נאפולי,, (1160 – 1168 לספירה בקירוב),,,"פירושו של הרמב""ם הוא הראשון שנכתב על כל המשנה, והוא אחד הפירושים החשובים שעל המשנה. הרמב""ם כתבו בצעירותו בשפה הערבית-יהודית, ותורגם פעמים רבות לעברית. הפירוש מכיל ביאור קצר לכל משנה ודיון מעמיק בעניינים המרכזיים שבה. בסוף כל עניין הוא פוסק הלכה על-פי מסקנת התלמוד."
"רמב""ם על משנה נזיר", (1492 לספירה),נאפולי,, (1160 – 1168 לספירה בקירוב),,,"פירושו של הרמב""ם הוא הראשון שנכתב על כל המשנה, והוא אחד הפירושים החשובים שעל המשנה. הרמב""ם כתבו בצעירותו בשפה הערבית-יהודית, ותורגם פעמים רבות לעברית. הפירוש מכיל ביאור קצר לכל משנה ודיון מעמיק בעניינים המרכזיים שבה. בסוף כל עניין הוא פוסק הלכה על-פי מסקנת התלמוד."
"רמב""ם משנה נדרים", (1492 לספירה),נאפולי,, (1160 – 1168 לספירה בקירוב),,,"פירושו של הרמב""ם הוא הראשון שנכתב על כל המשנה, והוא אחד הפירושים החשובים שעל המשנה. הרמב""ם כתבו בצעירותו בשפה הערבית-יהודית, ותורגם פעמים רבות לעברית. הפירוש מכיל ביאור קצר לכל משנה ודיון מעמיק בעניינים המרכזיים שבה. בסוף כל עניין הוא פוסק הלכה על-פי מסקנת התלמוד."
"רמב""ם על משנה סוטה", (1492 לספירה),נאפולי,, (1160 – 1168 לספירה בקירוב),,,"פירושו של הרמב""ם הוא הראשון שנכתב על כל המשנה, והוא אחד הפירושים החשובים שעל המשנה. הרמב""ם כתבו בצעירותו בשפה הערבית-יהודית, ותורגם פעמים רבות לעברית. הפירוש מכיל ביאור קצר לכל משנה ודיון מעמיק בעניינים המרכזיים שבה. בסוף כל עניין הוא פוסק הלכה על-פי מסקנת התלמוד."
"רמב""ם על משנה יבמות", (1492 לספירה),נאפולי,, (1160 – 1168 לספירה בקירוב),,,"פירושו של הרמב""ם הוא הראשון שנכתב על כל המשנה, והוא אחד הפירושים החשובים שעל המשנה. הרמב""ם כתבו בצעירותו בשפה הערבית-יהודית, ותורגם פעמים רבות לעברית. הפירוש מכיל ביאור קצר לכל משנה ודיון מעמיק בעניינים המרכזיים שבה. בסוף כל עניין הוא פוסק הלכה על-פי מסקנת התלמוד."
"רמב""ם משנה עבודה זרה", (1492 לספירה),נאפולי,, (1160 – 1168 לספירה בקירוב),,,"פירושו של הרמב""ם הוא הראשון שנכתב על כל המשנה, והוא אחד הפירושים החשובים שעל המשנה. הרמב""ם כתבו בצעירותו בשפה הערבית-יהודית, ותורגם פעמים רבות לעברית. הפירוש מכיל ביאור קצר לכל משנה ודיון מעמיק בעניינים המרכזיים שבה. בסוף כל עניין הוא פוסק הלכה על-פי מסקנת התלמוד."
"רמב""ם משנה בבא בתרא", (1492 לספירה),נאפולי,, (1160 – 1168 לספירה בקירוב),,,"פירושו של הרמב""ם הוא הראשון שנכתב על כל המשנה, והוא אחד הפירושים החשובים שעל המשנה. הרמב""ם כתבו בצעירותו בשפה הערבית-יהודית, ותורגם פעמים רבות לעברית. הפירוש מכיל ביאור קצר לכל משנה ודיון מעמיק בעניינים המרכזיים שבה. בסוף כל עניין הוא פוסק הלכה על-פי מסקנת התלמוד."
"רמב""ם על משנה בבא קמא", (1492 לספירה),נאפולי,, (1160 – 1168 לספירה בקירוב),,,"פירושו של הרמב""ם הוא הראשון שנכתב על כל המשנה, והוא אחד הפירושים החשובים שעל המשנה. הרמב""ם כתבו בצעירותו בשפה הערבית-יהודית, ותורגם פעמים רבות לעברית. הפירוש מכיל ביאור קצר לכל משנה ודיון מעמיק בעניינים המרכזיים שבה. בסוף כל עניין הוא פוסק הלכה על-פי מסקנת התלמוד."
"רמב""ם על משנה בבא מציעא", (1492 לספירה),נאפולי,, (1160 – 1168 לספירה בקירוב),,,"פירושו של הרמב""ם הוא הראשון שנכתב על כל המשנה, והוא אחד הפירושים החשובים שעל המשנה. הרמב""ם כתבו בצעירותו בשפה הערבית-יהודית, ותורגם פעמים רבות לעברית. הפירוש מכיל ביאור קצר לכל משנה ודיון מעמיק בעניינים המרכזיים שבה. בסוף כל עניין הוא פוסק הלכה על-פי מסקנת התלמוד."
"רמב""ם משנה עדיות", (1492 לספירה),נאפולי,, (1160 – 1168 לספירה בקירוב),,,"פירושו של הרמב""ם הוא הראשון שנכתב על כל המשנה, והוא אחד הפירושים החשובים שעל המשנה. הרמב""ם כתבו בצעירותו בשפה הערבית-יהודית, ותורגם פעמים רבות לעברית. הפירוש מכיל ביאור קצר לכל משנה ודיון מעמיק בעניינים המרכזיים שבה. בסוף כל עניין הוא פוסק הלכה על-פי מסקנת התלמוד."
"רמב""ם על משנה הוריות", (1492 לספירה),נאפולי,, (1160 – 1168 לספירה בקירוב),,,"פירושו של הרמב""ם הוא הראשון שנכתב על כל המשנה, והוא אחד הפירושים החשובים שעל המשנה. הרמב""ם כתבו בצעירותו בשפה הערבית-יהודית, ותורגם פעמים רבות לעברית. הפירוש מכיל ביאור קצר לכל משנה ודיון מעמיק בעניינים המרכזיים שבה. בסוף כל עניין הוא פוסק הלכה על-פי מסקנת התלמוד."
"רמב""ם על משנה מכות", (1492 לספירה),נאפולי,, (1160 – 1168 לספירה בקירוב),,,"פירושו של הרמב""ם הוא הראשון שנכתב על כל המשנה, והוא אחד הפירושים החשובים שעל המשנה. הרמב""ם כתבו בצעירותו בשפה הערבית-יהודית, ותורגם פעמים רבות לעברית. הפירוש מכיל ביאור קצר לכל משנה ודיון מעמיק בעניינים המרכזיים שבה. בסוף כל עניין הוא פוסק הלכה על-פי מסקנת התלמוד."
"רמב""ם על משנה סנהדרין", (1492 לספירה),נאפולי,, (1160 – 1168 לספירה בקירוב),,,"פירושו של הרמב""ם הוא הראשון שנכתב על כל המשנה, והוא אחד הפירושים החשובים שעל המשנה. הרמב""ם כתבו בצעירותו בשפה הערבית-יהודית, ותורגם פעמים רבות לעברית. הפירוש מכיל ביאור קצר לכל משנה ודיון מעמיק בעניינים המרכזיים שבה. בסוף כל עניין הוא פוסק הלכה על-פי מסקנת התלמוד."
"רמב""ם על משנה שבועות", (1492 לספירה),נאפולי,, (1160 – 1168 לספירה בקירוב),,,"פירושו של הרמב""ם הוא הראשון שנכתב על כל המשנה, והוא אחד הפירושים החשובים שעל המשנה. הרמב""ם כתבו בצעירותו בשפה הערבית-יהודית, ותורגם פעמים רבות לעברית. הפירוש מכיל ביאור קצר לכל משנה ודיון מעמיק בעניינים המרכזיים שבה. בסוף כל עניין הוא פוסק הלכה על-פי מסקנת התלמוד."
"רמב""ם משנה אבות", (1492 לספירה),נאפולי,, (1160 – 1168 לספירה בקירוב),,,"פירושו של הרמב""ם הוא הראשון שנכתב על כל המשנה, והוא אחד הפירושים החשובים שעל המשנה. הרמב""ם כתבו בצעירותו בשפה הערבית-יהודית, ותורגם פעמים רבות לעברית. הפירוש מכיל ביאור קצר לכל משנה ודיון מעמיק בעניינים המרכזיים שבה. בסוף כל עניין הוא פוסק הלכה על-פי מסקנת התלמוד."
"רמב""ם הקדמה לסדר טהרות", (1492 לספירה),נאפולי,, (1160 – 1168 לספירה בקירוב),,,
"רמב""ם משנה כלים", (1492 לספירה),נאפולי,, (1160 – 1168 לספירה בקירוב),,,"פירושו של הרמב""ם הוא הראשון שנכתב על כל המשנה, והוא אחד הפירושים החשובים שעל המשנה. הרמב""ם כתבו בצעירותו בשפה הערבית-יהודית, ותורגם פעמים רבות לעברית. הפירוש מכיל ביאור קצר לכל משנה ודיון מעמיק בעניינים המרכזיים שבה. בסוף כל עניין הוא פוסק הלכה על-פי מסקנת התלמוד."
"רמב""ם משנה מכשירין", (1492 לספירה),נאפולי,, (1160 – 1168 לספירה בקירוב),,,"פירושו של הרמב""ם הוא הראשון שנכתב על כל המשנה, והוא אחד הפירושים החשובים שעל המשנה. הרמב""ם כתבו בצעירותו בשפה הערבית-יהודית, ותורגם פעמים רבות לעברית. הפירוש מכיל ביאור קצר לכל משנה ודיון מעמיק בעניינים המרכזיים שבה. בסוף כל עניין הוא פוסק הלכה על-פי מסקנת התלמוד."
"רמב""ם משנה מקואות", (1492 לספירה),נאפולי,, (1160 – 1168 לספירה בקירוב),,,"פירושו של הרמב""ם הוא הראשון שנכתב על כל המשנה, והוא אחד הפירושים החשובים שעל המשנה. הרמב""ם כתבו בצעירותו בשפה הערבית-יהודית, ותורגם פעמים רבות לעברית. הפירוש מכיל ביאור קצר לכל משנה ודיון מעמיק בעניינים המרכזיים שבה. בסוף כל עניין הוא פוסק הלכה על-פי מסקנת התלמוד."
"רמב""ם משנה נגעים", (1492 לספירה),נאפולי,, (1160 – 1168 לספירה בקירוב),,,"פירושו של הרמב""ם הוא הראשון שנכתב על כל המשנה, והוא אחד הפירושים החשובים שעל המשנה. הרמב""ם כתבו בצעירותו בשפה הערבית-יהודית, ותורגם פעמים רבות לעברית. הפירוש מכיל ביאור קצר לכל משנה ודיון מעמיק בעניינים המרכזיים שבה. בסוף כל עניין הוא פוסק הלכה על-פי מסקנת התלמוד."
"רמב""ם על משנה נדה", (1492 לספירה),נאפולי,, (1160 – 1168 לספירה בקירוב),,,"פירושו של הרמב""ם הוא הראשון שנכתב על כל המשנה, והוא אחד הפירושים החשובים שעל המשנה. הרמב""ם כתבו בצעירותו בשפה הערבית-יהודית, ותורגם פעמים רבות לעברית. הפירוש מכיל ביאור קצר לכל משנה ודיון מעמיק בעניינים המרכזיים שבה. בסוף כל עניין הוא פוסק הלכה על-פי מסקנת התלמוד."
"רמב""ם משנה אהלות", (1492 לספירה),נאפולי,, (1160 – 1168 לספירה בקירוב),,,"פירושו של הרמב""ם הוא הראשון שנכתב על כל המשנה, והוא אחד הפירושים החשובים שעל המשנה. הרמב""ם כתבו בצעירותו בשפה הערבית-יהודית, ותורגם פעמים רבות לעברית. הפירוש מכיל ביאור קצר לכל משנה ודיון מעמיק בעניינים המרכזיים שבה. בסוף כל עניין הוא פוסק הלכה על-פי מסקנת התלמוד."
"רמב""ם משנה עוקצים", (1492 לספירה),נאפולי,, (1160 – 1168 לספירה בקירוב),,,"פירושו של הרמב""ם הוא הראשון שנכתב על כל המשנה, והוא אחד הפירושים החשובים שעל המשנה. הרמב""ם כתבו בצעירותו בשפה הערבית-יהודית, ותורגם פעמים רבות לעברית. הפירוש מכיל ביאור קצר לכל משנה ודיון מעמיק בעניינים המרכזיים שבה. בסוף כל עניין הוא פוסק הלכה על-פי מסקנת התלמוד."
"רמב""ם משנה פרה", (1492 לספירה),נאפולי,, (1160 – 1168 לספירה בקירוב),,,"פירושו של הרמב""ם הוא הראשון שנכתב על כל המשנה, והוא אחד הפירושים החשובים שעל המשנה. הרמב""ם כתבו בצעירותו בשפה הערבית-יהודית, ותורגם פעמים רבות לעברית. הפירוש מכיל ביאור קצר לכל משנה ודיון מעמיק בעניינים המרכזיים שבה. בסוף כל עניין הוא פוסק הלכה על-פי מסקנת התלמוד."
"רמב""ם משנה טהרות", (1492 לספירה),נאפולי,, (1160 – 1168 לספירה בקירוב),,,"פירושו של הרמב""ם הוא הראשון שנכתב על כל המשנה, והוא אחד הפירושים החשובים שעל המשנה. הרמב""ם כתבו בצעירותו בשפה הערבית-יהודית, ותורגם פעמים רבות לעברית. הפירוש מכיל ביאור קצר לכל משנה ודיון מעמיק בעניינים המרכזיים שבה. בסוף כל עניין הוא פוסק הלכה על-פי מסקנת התלמוד."
"רמב""ם משנה טבול יום", (1492 לספירה),נאפולי,, (1160 – 1168 לספירה בקירוב),,,"פירושו של הרמב""ם הוא הראשון שנכתב על כל המשנה, והוא אחד הפירושים החשובים שעל המשנה. הרמב""ם כתבו בצעירותו בשפה הערבית-יהודית, ותורגם פעמים רבות לעברית. הפירוש מכיל ביאור קצר לכל משנה ודיון מעמיק בעניינים המרכזיים שבה. בסוף כל עניין הוא פוסק הלכה על-פי מסקנת התלמוד."
"רמב""ם משנה ידים", (1492 לספירה),נאפולי,, (1160 – 1168 לספירה בקירוב),,,"פירושו של הרמב""ם הוא הראשון שנכתב על כל המשנה, והוא אחד הפירושים החשובים שעל המשנה. הרמב""ם כתבו בצעירותו בשפה הערבית-יהודית, ותורגם פעמים רבות לעברית. הפירוש מכיל ביאור קצר לכל משנה ודיון מעמיק בעניינים המרכזיים שבה. בסוף כל עניין הוא פוסק הלכה על-פי מסקנת התלמוד."
"רמב""ם משנה זבים", (1492 לספירה),נאפולי,, (1160 – 1168 לספירה בקירוב),,,"פירושו של הרמב""ם הוא הראשון שנכתב על כל המשנה, והוא אחד הפירושים החשובים שעל המשנה. הרמב""ם כתבו בצעירותו בשפה הערבית-יהודית, ותורגם פעמים רבות לעברית. הפירוש מכיל ביאור קצר לכל משנה ודיון מעמיק בעניינים המרכזיים שבה. בסוף כל עניין הוא פוסק הלכה על-פי מסקנת התלמוד."
